epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,17748.6,0.54876,1.02037,0.82993,0.9912,0,0.47865,0.34099,0.3526,0.29072,0.4795,0.34373,0.35138,0.27667,0.71106,1.49778,1.64436,1.15591,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,17996.4,0.5469,1.00901,0.82195,0.98826,0,0.47735,0.34533,0.34497,0.2842,0.47843,0.34549,0.34577,0.27154,0.70751,1.49024,1.65395,1.15302,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,18243.5,0.54305,0.99802,0.80078,0.98675,0,0.46488,0.33648,0.34614,0.28516,0.46394,0.33678,0.34631,0.2734,0.70907,1.50161,1.65765,1.15019,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,18490.9,0.54316,1.01037,0.81151,0.98654,0,0.49324,0.32877,0.34446,0.28667,0.50009,0.33166,0.34643,0.27291,0.70591,1.48542,1.64576,1.14908,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,18738.2,0.5364,0.99435,0.79059,0.98248,0,0.48261,0.33377,0.3396,0.27955,0.48522,0.33287,0.33999,0.26874,0.70786,1.48376,1.66376,1.14862,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,18985.4,0.53796,0.99573,0.7882,0.98321,0,0.43268,0.35032,0.34,0.28042,0.43432,0.35006,0.33958,0.26827,0.7074,1.49816,1.68747,1.14923,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,19232.4,0.53252,0.98463,0.77437,0.98133,0,0.47389,0.35996,0.34359,0.28334,0.47251,0.35916,0.34371,0.27143,0.70617,1.48664,1.66984,1.14666,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,19479.1,0.53589,0.98689,0.77095,0.9806,0,0.47177,0.35229,0.34738,0.28647,0.474,0.3529,0.34676,0.27398,0.70539,1.46753,1.67055,1.14797,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,19726,0.5343,0.98189,0.76244,0.97984,0,0.46835,0.36049,0.34996,0.2875,0.4934,0.35202,0.35034,0.27633,0.70812,1.48486,1.67477,1.15256,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,19973.2,0.53395,0.98856,0.76621,0.98099,0,0.48399,0.35317,0.34582,0.28419,0.47194,0.35365,0.34568,0.27235,0.71199,1.49587,1.67891,1.15576,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
